stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
104.0,55.0,2.850490808,1.0,1.0,284.0,131.0,68.0,6.0,23.0,22.232627873841377,-27.0,0.5237386625033755,-1.9870683915614455,0.8056398789174154
103.0,105.0,3.4168827530000003,2.0,1.0,340.0,18.0,263.0,18.0,0.0,-1.8289538865680477,-63.0,0.0029727938433286847,-0.8324429703741724,-0.15552296273099409
56.0,46.0,8.616770983,3.0,1.0,158.0,141.0,55.0,134.0,-7.0,-7.487917063449888,63.0,-0.0029727938433286847,-0.5741102701667807,-0.2062329907260563
131.0,6.0,3.700862885,4.0,1.0,68.0,92.0,46.0,106.0,14.0,9.292163842314121,39.0,-0.10511801982042818,-1.5471618217351029,-0.82442310800869
18.0,18.0,3.9008288380000002,5.0,1.0,263.0,112.0,146.0,108.0,-4.0,3.8674658780672893,54.0,-0.010938163461004029,-1.842015796837142,-0.7187549766938762
141.0,134.0,4.9332871439999995,6.0,1.0,55.0,144.0,63.0,2.0,6.0,6.141276966773059,-3.0,0.5228983985884421,-2.463266484364407,-0.7691142353584628
92.0,106.0,5.649729967000001,7.0,1.0,46.0,14.0,112.0,16.0,2.0,-1.047447014993086,-70.0,0.0008994249754327809,-1.7682001754406491,-0.8493708578205361
112.0,108.0,4.533187151,8.0,1.0,146.0,102.0,25.0,99.0,-3.0,-1.195726080076188,10.0,-1.2902063458390685,-1.13034577788807,-0.3789120806712859
144.0,2.0,5.23391223,9.0,1.0,63.0,82.0,275.0,90.0,8.0,1.745428758329549,62.0,-0.0034388455812695774,-2.50365553064344,0.7227682082510768
14.0,16.0,3.3175179960000003,10.0,1.0,112.0,39.0,220.0,42.0,3.0,1.4912469949719274,-25.0,0.6493791772543559,-0.7676862004691124,0.6444092383498093
102.0,99.0,4.083718061,11.0,1.0,25.0,26.0,214.0,25.0,-1.0,-1.2200463757374003,-72.0,0.0005164127508680142,-1.8784559203743045,0.7772635132930812
82.0,90.0,1.5002470019999998,12.0,1.0,275.0,7.0,187.0,11.0,4.0,2.3394868856740203,-73.0,0.00033955474041424537,-1.5288889690063607,0.7645892677891737
39.0,42.0,6.050153255,13.0,1.0,220.0,94.0,261.0,92.0,-2.0,-5.729227226695716,-55.0,0.009445244764129671,-1.5447547277765854,0.827633766321693
26.0,25.0,6.700216055,14.0,1.0,214.0,133.0,138.0,144.0,11.0,9.298236127352563,41.0,-0.0779276459622029,-0.7379454605822058,0.6361511483722986
7.0,11.0,2.167600155,15.0,1.0,187.0,49.0,237.0,45.0,-4.0,-6.079063737551511,-42.0,0.06699796330228824,-0.3625960894204024,0.039510470479348976
94.0,92.0,3.233270168,16.0,1.0,261.0,60.0,195.0,59.0,-1.0,-3.031114694035498,34.0,-0.21588474207895003,-1.6726103049160688,0.039510470479348976
133.0,144.0,2.150221825,17.0,1.0,138.0,146.0,180.0,3.0,5.0,3.697229720222392,-13.0,1.341448218806818,-2.8478427588499793,0.20720870983952758
49.0,45.0,3.533443928,18.0,1.0,237.0,121.0,238.0,2.0,29.0,35.50862317259194,-72.0,0.0005164127508680142,-1.6700401742675441,-0.13528744020799457
60.0,59.0,6.41688776,19.0,1.0,195.0,77.0,79.0,100.0,23.0,17.62634605366733,-17.0,1.2006572755850826,-2.935585097797216,-0.243689433621079
146.0,3.0,3.783024073,20.0,1.0,180.0,127.0,112.0,131.0,4.0,6.090559010271161,19.0,-1.0749151052234405,0.7501713049116567,-0.2397750439991228
121.0,2.0,3.116832972,21.0,1.0,238.0,43.0,219.0,39.0,-4.0,-5.914285425526092,-70.0,0.0008994249754327809,-2.5617911152698607,-1.3172116708792112
77.0,100.0,4.8663339610000005,22.0,1.0,79.0,139.0,111.0,137.0,-2.0,-3.372204149593106,-62.0,0.0034388455812695774,-2.089292821240822,-1.2128008759332256
127.0,131.0,2.515944958,23.0,1.0,112.0,19.0,171.0,146.0,-21.0,-22.51554523849045,-40.0,0.09055883313821375,-0.7872359870711383,-0.92216460523589
43.0,39.0,1.9833810330000001,24.0,1.0,219.0,109.0,1.0,102.0,-7.0,-0.37716152557195315,-66.0,0.0018851516995050058,-0.6709210727576852,-1.0469796212185958
