Stim_diff,responseError
-18.0,-15.0
-10.0,2.000236187115602
-5.0,-3.0000000000000946
20.0,27.0
-8.0,-27.287864033000567
-23.0,-7.997748329229672
21.0,-3.167039872762723
21.0,-8.000060500719531
22.0,-11.998320845788095
25.0,4.000057899009128
-24.0,2.0000000000000324
18.0,6.000704640150872
23.0,4.999999999999906
-20.0,-3.00000000000007
-23.0,-10.001860451848527
21.0,8.174496048679693
-19.0,2.000236187115602
24.0,32.997498327670115
-22.0,17.002251670770328
11.0,-16.99945572943632
15.0,-2.35740085332888
-4.0,-2.0
23.0,-7.000060500719531
20.0,12.0
-12.0,4.999045472582328
-24.0,2.9999999999998894
18.0,5.0
25.0,-2.999168874519314
23.0,-5.998320845788095
20.0,-23.0
23.0,-8.994511840547215
-16.0,11.000625528069603
23.0,-0.9980840832025756
14.0,2.0
-8.0,-39.99774832922967
11.0,-26.275203664686423
-10.0,29.0
15.0,-0.3775523160840408
-18.0,-20.0
-22.0,-3.0
22.0,-2.9999999999999685
-22.0,-2.0
15.0,14.64259914667112
-19.0,23.0
-23.0,-11.999999999999917
-16.0,2.0
-19.0,-4.0
15.0,-3.0
19.0,-13.997744762955785
25.0,-20.0
22.0,3.0015574185100404
-25.0,18.0
-17.0,-5.999763812884399
25.0,-1.0
-13.0,7.0
14.0,-11.99999999999998
19.0,-4.998795133805969
-20.0,4.999539000061305
21.0,12.000000000000032
9.0,-19.948021941765028
20.0,5.000704640150872
-11.0,-0.999374471930395
-14.0,-5.0
24.0,-1.9181943021324675e-55
19.0,-14.0
-24.0,-27.9997638128844
11.0,-31.0
-24.0,0.999999999999986
6.0,3.0
-14.0,19.995855822062826
-25.0,37.88443496334549
15.0,-19.99999999999994
18.0,1.0000000000000209
14.0,-2.999942100990872
20.0,3.000544270563681
14.0,40.000000000000085
-17.0,18.0
-4.0,-6.000000000000094
15.0,5.00054427056368
-7.0,12.0
-25.0,20.999045472582328
19.0,-27.998442581489883
-12.0,-12.99774832922967
-24.0,-7.0
11.0,-3.0
-25.0,-20.002929443040586
-14.0,-24.266437987178247
-11.0,-6.997748329229672
23.0,12.174496048679693
17.0,-3.9999999999999543
23.0,-2.9990214830245723
-24.0,7.997498327670115
23.0,-2.0025016723298847
24.0,13.001901535270209
18.0,11.72479633531358
15.0,3.0
13.0,-2.825503951320307
15.0,5.0
-15.0,-2.2959361313106017
-21.0,3.000625528069605
-24.0,44.0
-17.0,-3.0
13.0,7.62244768391596
22.0,37.000000000000085
-19.0,31.99999999999993
-5.0,9.999999999999906
2.0,2.5426198872686703
-19.0,-24.135327104792243
20.0,-7.999999999999937
-22.0,-39.002501672329885
11.0,-10.0
-23.0,-4.0
-18.0,4.000000000000024
16.0,19.724796335313577
23.0,-5.99999999999998
-13.0,-28.0
-18.0,2.0
-8.0,-31.0
