stimulusID,morphID,RT,trialNumber,blockNumber,shifted_stimulusID,shifted_morphID,Error,responseError,Stim_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
58.0,46.0,8.49725,4.0,1.0,85.0,90.0,5.0,5.003191621478979,-27.0,2.7509165721660382,-4.493893475450546,-0.014816955190242943,-1.6525163637578637,-7.780153420778879e-17
71.0,89.0,9.639875,5.0,1.0,58.0,46.0,-12.0,-12.0,13.0,6.4151649921292355,-4.673044964216726,1.2280176791566333,-8.1864869110567,-0.027366777280232
93.0,93.0,3.90745,7.0,1.0,72.0,77.0,5.0,5.0079166349235456,21.0,4.328415004058819,-4.767290018251913,0.28105170928727224,-6.824780486387051,-0.05489218731025357
66.0,103.0,15.860404999999998,8.0,1.0,93.0,93.0,0.0,-0.0005031939135403189,-27.0,5.702937635329133,-5.106372281371281,-0.005005976824709528,-3.644344851082201,-0.0827356828032587
88.0,74.0,10.50849,11.0,1.0,142.0,118.0,-24.0,0.01207125020004085,-54.0,4.626799751657605,-2.850845255841678,0.5631531978227143,-1.2962209448523492,-0.11105834960577272
8.0,131.0,5.66171,12.0,1.0,88.0,74.0,-14.0,5.998318034419409,66.0,2.844798418724688,-2.2626099617240314,0.14208543270921814,-1.9553508953969851,-0.1400237059601225
89.0,93.0,11.507935,13.0,1.0,8.0,131.0,-23.0,-23.0,-65.0,5.047792895039199,-2.2919842671541923,0.4183241326722402,-2.0028144990823327,-0.16979848010337514
4.0,123.0,13.49347,14.0,1.0,89.0,93.0,4.0,4.006933942775411,61.0,5.323634865761549,-1.6691128756886997,0.3405170363589921,-5.764421863903402,-0.20055335748110334
122.0,107.0,11.77853,15.0,1.0,4.0,123.0,-27.0,-27.0,-28.0,9.168452301935583,-1.8485512011712244,0.7491287521829036,1.7765357478498183,-0.23246368756323724
126.0,123.0,5.96085,17.0,1.0,64.0,31.0,-33.0,-33.0,62.0,6.084585746189922,-4.752337421141941,0.45023001631259324,-0.8742964578812314,-0.2657101386312991
69.0,87.0,10.938360000000001,18.0,1.0,126.0,123.0,-3.0,-2.99418407782563,-57.0,2.015279964751608,-4.8474082744837235,0.46641686335653737,-6.7927114658668675,-0.30047928696216175
129.0,140.0,10.96283,19.0,1.0,69.0,87.0,18.0,24.502513718383845,60.0,4.529705150078453,-5.539778688207909,0.1621480503117858,-8.767510233194576,-0.33696412456738667
17.0,126.0,2.1204400000000003,20.0,1.0,129.0,140.0,11.0,11.002179831242744,34.0,4.394599252418964,-5.102278688207896,0.2555474493812807,-0.7794851632267165,-0.37536446706899335
24.0,31.0,8.613395,21.0,1.0,17.0,126.0,-37.0,-37.0,7.0,6.942435407189314,-4.097152858832447,0.5769109989456782,-3.6047543814541885,-0.41588724041993536
17.0,26.0,7.170064999999999,22.0,1.0,24.0,31.0,7.0,6.99849002438629,-7.0,3.724509346405294,-4.611717562719298,-0.1694915040083319,-3.5897524745195515,-0.4587466220389376
91.0,90.0,2.462335,23.0,1.0,17.0,26.0,9.0,9.0,-72.0,10.705288083741806,-4.611717562719298,0.4199639042505917,-4.188394910709114,-0.5041640085667757
41.0,67.0,7.459865,24.0,1.0,91.0,90.0,-1.0,-0.9997766593990367,-50.0,4.276533449387836,-6.3770859808530655,0.16562643484806797,-7.659225849892204,-0.5523677789236493
73.0,72.0,8.474015,27.0,1.0,20.0,127.0,-39.0,-39.0,53.0,7.233692217220523,-6.5664485740165555,0.29440371234491924,-6.054132109606611,-0.6035928177350758
65.0,82.0,8.61099,28.0,1.0,73.0,72.0,-1.0,15.598657087194443,-8.0,2.9475208005709357,-6.5664485740165555,0.04665935016584194,-3.38985524419247,-0.658079760601069
140.0,125.0,9.699715,30.0,1.0,107.0,80.0,-27.0,-27.0,33.0,9.035094922910488,-5.186737455184972,0.3669705596683571,-1.5054414649121939,-0.7160739192434236
115.0,114.0,3.811465,31.0,1.0,140.0,125.0,-15.0,-14.999999999999696,-25.0,4.025127012449611,-5.951180084539203,-0.10432036971444779,-4.100001953170395,-0.7778238414434111
123.0,119.0,1.6840849999999998,32.0,1.0,115.0,114.0,-1.0,-1.0,8.0,5.554912942279572,-5.942745097226955,0.7064735389102502,-3.5927219142965385,-0.8435794580774948
122.0,119.0,3.3906400000000003,33.0,1.0,123.0,119.0,-4.0,9.67124964657552,-1.0,3.256335737680269,-6.230712073469769,0.4188851044988122,-3.7349597956544733,-0.9135897677090534
70.0,69.0,3.865725,34.0,1.0,122.0,119.0,-3.0,-2.9954138066668485,-52.0,4.143101453613124,-6.318028615995979,0.7784012284577402,-5.408423959723865,-0.9881000083759951
131.0,132.0,2.794665,35.0,1.0,70.0,69.0,-1.0,-0.995470243862636,61.0,4.275319763452893,-3.8103949105854746,0.13886628689897904,-5.701319863865875,-1.0673482667412206
101.0,80.0,1.22784,36.0,1.0,131.0,132.0,1.0,1.0089735396821764,-30.0,8.088634961707456,-4.032856463595363,0.7483135034233517,2.910519852299639,-1.1515614769945501
91.0,90.0,6.182475,37.0,1.0,101.0,80.0,-21.0,-21.0,-10.0,4.709841996086162,-4.302175228553327,0.49378923190752955,-2.3056870502069398,-1.2409507661888641
119.0,120.0,9.91365,38.0,1.0,91.0,90.0,-1.0,-0.9997766593990367,28.0,6.223475367152825,-4.302175228553327,0.437190264009862,-5.538410058917748,-1.3357061094586804
10.0,116.0,9.610330000000001,39.0,1.0,119.0,120.0,1.0,23.33165434479608,37.0,7.382657955278103,-3.1389118516013346,0.8981972116982185,-2.827837094517925,-1.435990268211111
10.0,15.0,8.902144999999999,40.0,1.0,10.0,116.0,-40.0,-40.0,0.0,6.292972733581663,-3.2004181479155243,0.45261238260023745,-4.604255916866362,-1.5419319972920293
139.0,136.0,4.688035,41.0,1.0,10.0,15.0,5.0,5.0,-17.0,4.386962209769849,-3.52419569761063,0.30304818689389756,-5.640982012574475,-1.6536185236751515
144.0,130.0,4.0149349999999995,42.0,1.0,139.0,136.0,-3.0,-3.0,5.0,7.360539762107383,-3.2503075198200224,0.5822787148993693,0.3160227147144121,-1.7710873196989552
96.0,109.0,19.84365,43.0,1.0,144.0,130.0,-14.0,-13.997650767039984,-48.0,5.71124020707106,-3.1909368284346593,0.29985257725295517,-6.771462121411489,-1.8943172184921957
27.0,32.0,3.82945,44.0,1.0,96.0,109.0,13.0,12.99999999999998,-69.0,10.999828524296895,-3.6671273046251285,0.6864615498510451,-6.547535821514299,-2.023218948059655
48.0,73.0,11.485925,47.0,1.0,2.0,127.0,-21.0,-21.0,46.0,7.834065153991995,-3.6671273046251285,0.3510527401487281,-1.265809692959269,-2.1576251934510244
125.0,93.0,7.126964999999999,50.0,1.0,52.0,61.0,9.0,7.500000000000046,-73.0,7.467343356606921,-3.7568638547428157,0.7218171240869176,-10.859751216499205,-2.2972803332009857
12.0,136.0,4.915765,54.0,1.0,6.0,123.0,-29.0,-29.0,6.0,8.811149040078785,-4.391010196206224,0.6264504729752505,-9.45857435377974,-2.4418300362473353
53.0,39.0,5.495385,55.0,1.0,12.0,136.0,-22.0,-22.0,41.0,6.3583383330803365,-4.320444562160791,1.1104561484718705,-2.151768618413062,-2.5908109479548647
36.0,61.0,1.546035,56.0,1.0,53.0,39.0,-14.0,-12.666666666666716,-17.0,2.5340074745401715,-4.8017987386448056,0.2745734238201737,-0.7976827410048831,-2.74364073752209
147.0,144.0,11.51644,57.0,1.0,36.0,61.0,25.0,25.0,-35.0,6.614539668128243,-4.496249386994825,0.4812801119907408,-4.624789073839236,-2.899608822410247
73.0,35.0,1.083175,58.0,1.0,147.0,144.0,-3.0,8.000000000528416,72.0,7.612974316636249,-2.407793468582763,0.6126822941496087,1.4949467494812405,-3.057868126647408
119.0,79.0,3.940815,59.0,1.0,73.0,35.0,-38.0,-21.401342912805557,46.0,5.222235443166068,-3.00097125473834,0.47544241501243484,-4.164693968743148,-3.2174282667325937
137.0,123.0,14.42489,60.0,1.0,119.0,79.0,-40.0,-17.66834565520392,18.0,2.1933008998427965,-3.639833164328942,0.46398525142625613,-3.6954713239940897,-3.3771505889117504
139.0,129.0,6.81186,61.0,1.0,137.0,123.0,-14.0,-14.0,2.0,8.136236417208668,-6.000880104148032,0.7356027025309719,-4.170586862987278,-3.5357455021126527
2.0,147.0,1.862625,62.0,1.0,139.0,129.0,-10.0,-10.0,9.0,7.385938300717323,-6.8541626794863,0.8741036722504645,-9.998892383765265,-3.6917725589770334
55.0,121.0,3.711575,63.0,1.0,2.0,147.0,-1.0,-1.0,53.0,6.9309888030222915,-7.1527736697737625,0.7457527223573057,-6.871762363269504,-3.8436437303872815
39.0,68.0,3.093755,65.0,1.0,15.0,123.0,-38.0,-38.0,24.0,8.249385968231975,-6.824750914780417,0.5952689573145085,-3.9881257592463735,-3.989630293986588
