stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,DoVM_values,bootstrap_values,Running_Mean,slopes,intercepts
51.0,51.0,4.649818897,1.0,1.0,139.0,143.0,64.0,140.0,-3.0,4.883857380068232,56.0,75.0,0.19262167516487047,4.084537766088063,3.4421387541034547,0.06700359615926199,2.624441097639077
143.0,140.0,1.81682682,2.0,1.0,64.0,2.0,286.0,141.0,-9.0,-5.698727765824112,-7.0,138.0,-2.142407885220384,5.5561908810486536,1.7832288218264636,0.36608197540374504,-4.627190801562209
2.0,141.0,6.183823824,3.0,1.0,286.0,137.0,19.0,2.0,13.0,16.23911856520331,13.0,-93.0,3.1314951625546543,5.057012971956,1.104046380171711,0.3857926130529595,-1.3139259196212436
137.0,2.0,1.566293001,4.0,1.0,19.0,57.0,140.0,47.0,-10.0,-8.589682125340605,-68.0,-121.0,-0.0465444451266495,3.2451843175798056,1.5143647794347666,0.2690037337697672,3.250268532206053
57.0,47.0,3.19995594,5.0,1.0,140.0,104.0,83.0,102.0,-2.0,0.558268818035824,-47.0,57.0,-0.46399583147706325,2.0058932327294663,2.4727352240250884,-0.1504574560727855,3.979871272133012
104.0,102.0,4.382833719,6.0,1.0,83.0,109.0,112.0,103.0,-6.0,0.896137688928345,-5.0,-29.0,-1.6066693395127112,1.2642424258100722,1.0799754992274861,0.10389777062703423,0.9931160990103182
109.0,103.0,2.416570187,7.0,1.0,112.0,18.0,11.0,143.0,-23.0,-9.492668399362149,-57.0,101.0,-0.17404783231297902,3.5389813367139835,0.5403345106302746,-0.10295787290585494,1.498655330189338
18.0,143.0,4.283818245,8.0,1.0,11.0,113.0,57.0,118.0,5.0,13.931016107679763,53.0,-46.0,0.2597128025849985,1.0822397583678385,0.27114562436674655,-0.23302928381996457,2.7357482588091964
113.0,118.0,3.116399765,9.0,1.0,57.0,19.0,57.0,118.0,-49.0,-35.177734607446865,-54.0,0.0,-0.2352664770544773,6.829674196836823,0.4695601815941508,0.23387088518755922,1.9509743286599166
19.0,118.0,4.016753197,10.0,1.0,57.0,64.0,258.0,72.0,8.0,9.5118078650959,-45.0,159.0,-0.5600630992350605,3.928087422119235,-0.40122898513843314,0.18533492157571957,-0.24110713422301785
