stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,DoVM_values,bootstrap_values,Running_Mean,slopes,intercepts
98.0,10.0,7.650500059,1.0,1.0,281.0,124.0,102.0,141.0,17.0,16.823718579952086,-26.0,179.0,-0.561870924142829,-2.805775452023724,-1.7720341813271119,-0.2127769568809216,-1.8464459094480292
124.0,141.0,1.5347340109999998,2.0,1.0,102.0,54.0,237.0,48.0,-6.0,-1.9593191573633675,70.0,-135.0,0.0073783615937840896,2.2830331627951446,-0.25828081832834776,0.40121582616131574,1.4214606754544958
54.0,48.0,8.434113979,3.0,1.0,237.0,22.0,358.0,17.0,-5.0,0.1121272989551585,32.0,-121.0,0.38583661232982225,-2.017565430532503,0.5113249681818187,-0.0793563818506965,-4.507224677769062
22.0,17.0,8.965801001,4.0,1.0,358.0,97.0,106.0,104.0,7.0,0.15634247013720426,73.0,-108.0,0.002862575922526549,5.076175341160668,-1.2952742142743678,0.3306118117789807,-0.938116942143401
97.0,104.0,12.33266401,5.0,1.0,106.0,73.0,33.0,106.0,33.0,21.005681012323763,24.0,73.0,0.6188902344602186,-1.311424874430834,-2.087929245942476,0.016884875001144717,-2.730539102707131
73.0,106.0,5.8831439020000005,6.0,1.0,33.0,19.0,232.0,19.0,0.0,9.092892806113909,54.0,161.0,0.054051767537081644,3.013936224961635,-0.6750358516963861,0.2441421832334444,-4.7476996796783375
19.0,19.0,2.617584944,7.0,1.0,232.0,113.0,255.0,118.0,5.0,9.674014068518048,54.0,-23.0,0.054051767537081644,2.2757829777271055,-1.0801914313903132,0.587955500464344,-2.911444754593933
113.0,118.0,4.980408192,8.0,1.0,255.0,144.0,326.0,141.0,-3.0,-3.8262764177781463,-31.0,-71.0,-0.4139707151345328,-2.5288989331328393,0.002869453306064613,-0.0009410975540608751,-3.7760353510107088
144.0,141.0,6.4028530120000005,9.0,1.0,326.0,49.0,235.0,50.0,1.0,3.953590815361977,-53.0,91.0,-0.059668237513333826,3.179333606244571,-0.31624493763389755,-0.1533659316759752,-0.09241274551084018
49.0,50.0,1.082783937,10.0,1.0,235.0,50.0,114.0,37.0,-13.0,-9.626009406955788,-1.0,121.0,-0.077531448807012,1.2043638714964913,0.7433103492050367,0.2957045819471112,-2.498126276718493
