stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,DoVM_values,bootstrap_values,Running_Mean,slopes,intercepts
15.0,3.0,1.2999348640000001,1.0,1.0,9.0,105.0,98.0,123.0,18.0,11.819720288896072,58.0,-89.0,0.0004505788285597761,0.5646747065621497,1.8134696264507266,0.08243631745778048,1.5896559251302371
2.0,146.0,2.067513227,2.0,1.0,163.0,64.0,115.0,43.0,-21.0,-19.85354176228767,-62.0,48.0,-0.00024101582009781469,1.3825358487904722,1.4629471435199985,0.13596352492831726,0.7892048561316668
138.0,138.0,2.066941023,3.0,1.0,306.0,98.0,118.0,102.0,4.0,-3.8559530680095326,40.0,-172.0,0.009324871734458976,-0.7598050204006186,1.4217473587164817,0.06615776059287053,1.3887771072204729
105.0,123.0,2.8173768519999998,4.0,1.0,98.0,23.0,137.0,29.0,6.0,5.575150920791871,-66.0,-39.0,-0.0001271805371311001,1.5454810121299243,1.6358837824071717,0.18784879930466042,-0.12446693168856998
64.0,43.0,2.2168159480000003,5.0,1.0,115.0,112.0,219.0,122.0,10.0,8.971510880675233,-48.0,-104.0,-0.0023470602979997496,0.24397515458418711,1.5397466853233233,0.0022796380008947093,1.2336035779756338
98.0,102.0,3.4667439460000002,6.0,1.0,118.0,111.0,169.0,108.0,-3.0,-4.908891704392196,-13.0,-51.0,-0.22588394862713082,-0.9574994962327705,1.3522606478635855,-0.057195272936323004,0.23373554505015978
23.0,29.0,2.9343049530000003,7.0,1.0,137.0,69.0,299.0,42.0,-27.0,-24.99923407030564,-46.0,-162.0,-0.0033109426838423255,0.2773437676157855,1.5382735325597094,0.06832989826406745,-0.7233589087119509
112.0,122.0,2.750525951,8.0,1.0,219.0,73.0,49.0,67.0,-6.0,-4.087681825441954,39.0,170.0,0.011058008631989453,1.550722013863455,1.1298917747699144,0.08613640110341406,1.2659331120890926
111.0,108.0,2.400035143,9.0,1.0,169.0,56.0,209.0,63.0,7.0,5.822100557811702,55.0,-40.0,0.0007282619114125987,-0.7165831155098841,0.7523496467404289,0.011192438085951011,0.44104215443019384
69.0,42.0,2.0654718880000003,10.0,1.0,299.0,46.0,11.0,55.0,9.0,6.447046425073233,23.0,-72.0,0.11467431291195551,-1.7586672871325826,0.7285934765465032,-0.10469150961391495,1.2781946936777477
73.0,67.0,1.9164710040000001,11.0,1.0,49.0,75.0,3.0,74.0,-1.0,0.5642782374438378,-2.0,46.0,-0.0641665858632998,2.0001852545986027,0.6302662489342264,0.10235592733667775,1.5547582188176958
56.0,63.0,1.1002581120000001,12.0,1.0,209.0,10.0,344.0,22.0,12.0,16.281987809606562,46.0,-135.0,0.0033109426838423255,-0.642238230773876,0.6971637595865693,-0.009587659854404356,-0.5051441488425379
46.0,55.0,2.766664028,13.0,1.0,11.0,90.0,19.0,105.0,15.0,9.548308469727125,-44.0,-8.0,-0.004678978786204966,0.6007206238003265,1.5793350463851754,0.09623671339670475,0.20172769574567476
75.0,74.0,1.8839619159999998,14.0,1.0,3.0,141.0,7.0,3.0,10.0,15.18310257672676,-66.0,-4.0,-0.0001271805371311001,-1.309586910155685,1.9945265231967322,0.1273171793844937,-0.08584480694222914
10.0,22.0,2.434102774,15.0,1.0,344.0,128.0,94.0,124.0,-4.0,5.801558743571327,30.0,-110.0,0.046626936600413026,1.7020218262581406,1.523203006229577,0.1445845947861618,0.5848830474065803
90.0,105.0,2.5499320030000003,16.0,1.0,19.0,45.0,281.0,54.0,9.0,6.4883539365214,45.0,98.0,0.003935517801519282,-1.2112382249293254,1.6816776418560802,-0.021370604951214664,2.3586319572874257
141.0,3.0,2.3501918319999997,17.0,1.0,7.0,44.0,190.0,50.0,6.0,3.5597244825662324,-51.0,177.0,-0.001410255266973475,1.662808434855829,1.2638541314328828,0.14889088265188707,0.7999748434804205
128.0,124.0,5.134060143999999,18.0,1.0,94.0,53.0,254.0,53.0,0.0,-1.9062790838355488,-73.0,-160.0,-2.213798749561458e-05,-1.9386855322549423,0.6708499265486938,0.11275808753936391,0.3262906881551378
45.0,54.0,1.083105803,19.0,1.0,281.0,96.0,288.0,113.0,17.0,9.377180253836293,-51.0,-7.0,-0.001410255266973475,1.2188773019017032,-0.6040991673030562,0.1418832695846541,1.3310905177816323
44.0,50.0,3.5171079639999996,20.0,1.0,190.0,8.0,221.0,127.0,-29.0,-22.711314025629108,36.0,-31.0,0.018273996333184585,1.4513483246980603,0.2489686487378536,0.12933972084383674,2.509090432707544
53.0,53.0,3.800223112,21.0,1.0,254.0,19.0,235.0,13.0,-6.0,-6.2970594603176115,34.0,19.0,0.025275580126129387,-1.9119009573649735,0.2489413545135096,0.06263071285457344,2.690740356399585
96.0,113.0,3.8505940439999997,22.0,1.0,288.0,9.0,150.0,11.0,2.0,7.264107740785708,-61.0,138.0,-0.00028165222540523063,0.2464606165495549,-0.5414841318323699,0.0458789945435026,1.1161229266096373
8.0,127.0,3.29929328,23.0,1.0,221.0,39.0,91.0,41.0,2.0,0.25312652164111515,-31.0,130.0,-0.040222978603065875,1.8931544683327464,-0.6902539962785784,0.19042262781824304,0.8162453158837644
19.0,13.0,2.050057173,24.0,1.0,235.0,85.0,266.0,117.0,32.0,29.265101952465876,-66.0,-31.0,-0.0001271805371311001,-1.0509491446844126,-0.6193586016665381,0.06420762975242685,1.8186472436382022
9.0,11.0,2.9839003089999996,25.0,1.0,150.0,3.0,68.0,14.0,11.0,20.893282574930893,6.0,82.0,0.17055814645270587,0.45987907456467764,-0.5694831735271269,0.15833763341097437,2.09964427496621
39.0,41.0,4.150314093,26.0,1.0,91.0,72.0,98.0,65.0,-7.0,-4.990862763765356,-33.0,-7.0,-0.029605080554660886,1.0395793962419129,-0.7566582567850777,0.13514767520228066,2.958968843006393
