stimulusID,morphID,RT,trialNumber,blockNumber,shifted_stimulusID,shifted_morphID,Error,responseError,Stim_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
49.0,20.0,0.6716850000000001,1.0,1.0,120.0,23.0,49.0,49.0,-71.0,2.928894569240094,1.3853999151781087,-0.9683224448410894,-2.8958049500441487,-4.2084680071755287e-17
38.0,100.0,0.898875,2.0,1.0,37.0,8.0,-29.0,-29.001176341668074,1.0,4.173732728523675,0.20961575715456154,0.9646706858690433,14.121935992570517,-0.014798177526440392
120.0,23.0,1.370995,3.0,1.0,34.0,60.0,26.0,26.000494978762696,-60.0,-3.7951849362447003,-1.403677993359847,-0.8829464984387504,11.351753322117759,-0.02965114790928617
37.0,8.0,1.607335,4.0,1.0,45.0,50.0,5.0,5.0,-8.0,1.4599499776534277,-2.945211665072588,-0.6139518500341389,17.7815914936869,-0.04461375338422484
34.0,60.0,0.423545,5.0,1.0,142.0,113.0,-29.0,-29.0,38.0,3.4612640974243094,-0.48903769960717475,0.017659717301238356,8.647986783339011,-0.05974093088729826
45.0,50.0,0.3888,6.0,1.0,96.0,35.0,-61.0,-50.714285826704106,-51.0,1.0247790860547965,-0.6339237625792237,-0.2399112098622891,9.308420498988731,-0.07508774921603313
142.0,113.0,0.341735,7.0,1.0,102.0,5.0,49.0,49.000000000000234,40.0,-4.523158858881022,0.8006259660420261,-1.2666789397982623,3.391620938734283,-0.09070943384321827
96.0,35.0,0.10805,8.0,1.0,1.0,65.0,64.0,64.0,-51.0,1.255970778928102,0.6202823365633808,-0.32903198398156064,11.442350894132677,-0.10666137507084897
102.0,5.0,0.5075,9.0,1.0,136.0,102.0,-34.0,-34.000000000000355,-34.0,5.107192037768457,-1.984367625762346,0.7481306619921592,20.861787399991254,-0.1229991150515585
1.0,65.0,3.697635,10.0,1.0,31.0,131.0,-46.0,-45.99999999999998,-30.0,3.588683176908423,-1.3931689471598079,0.8023191937601164,4.388124915475491,-0.13977830901538718
136.0,102.0,0.10923499999999998,11.0,1.0,62.0,35.0,-27.0,-0.764763153009973,-72.0,1.9048009717990058,-2.841914042267607,-0.16337233580190355,4.44527879618799,-0.15705465582861303
31.0,131.0,0.72542,12.0,1.0,2.0,40.0,38.0,38.00000000000035,29.0,-3.1521642575799276,-2.685075761422254,-1.0341076205540611,15.85240028002657,-0.17488379278813473
62.0,35.0,1.037995,13.0,1.0,60.0,121.0,61.0,55.49044357022572,2.0,4.281743741057971,-2.715471076825552,-0.601981096180006,13.076493792461937,-0.1933211493312197
2.0,40.0,0.06933500000000001,14.0,1.0,64.0,76.0,12.0,12.000000000000332,-62.0,3.6672785630594604,-3.8875841481717015,-0.04453988584974418,13.252075709977278,-0.2124217541302946
60.0,121.0,0.206395,15.0,1.0,6.0,90.0,-62.0,-61.99999999999965,54.0,0.4222780028178084,-3.2934874826501974,-0.179570874376738,7.982523439426785,-0.23223998986234246
