stimulusID,morphID,RT,trialNumber,blockNumber,shifted_stimulusID,shifted_morphID,Error,responseError,Stim_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
82.0,69.0,3.298,1.0,1.0,120.0,116.0,-4.0,-3.9996620616743135,-38.0,-1.6599486536509216,-3.048380428587593,-0.695955796022299,-2.914772839828181,1.3480251849828168e-17
13.0,124.0,3.5385,2.0,1.0,86.0,119.0,33.0,32.99999999999995,-73.0,1.1030106917974039,-3.3815859613040353,-0.9471073586081281,2.6923169918237626,0.004742237085719183
75.0,112.0,4.9173,3.0,1.0,105.0,113.0,8.0,8.000000000000089,-30.0,0.6322895424182569,-3.829945917960299,-0.42264955065808546,3.3652905174864842,0.0095152308333728
120.0,116.0,3.7073,4.0,1.0,16.0,121.0,-41.0,-41.0,-42.0,-3.6605849057195816,-3.709644172754669,-0.7318418637523979,-0.9804142186495983,0.014349936702661823
86.0,119.0,1.0091,5.0,1.0,43.0,35.0,-8.0,-8.000000000000146,43.0,-4.799016881510115,-3.373903700371405,-1.066297802267351,-2.66821391807272,0.019277706978263323
105.0,113.0,10.7969,6.0,1.0,124.0,126.0,2.0,2.0,-19.0,2.166898580570174,-3.6537148878303287,-0.06865623413843815,0.38040900857222854,0.024330487184880525
16.0,121.0,7.0381,7.0,1.0,120.0,129.0,9.0,9.000337938325687,42.0,2.6084714861431664,-3.3324548597978585,-0.6073049592791661,-3.4667750852169767,0.029541009905650378
43.0,35.0,5.6062,8.0,1.0,9.0,13.0,4.0,4.004532176779454,34.0,2.8966460576702415,-3.194544962048888,-0.20735291746125228,-1.8652513651516465,0.03494298480319596
124.0,126.0,4.5178,9.0,1.0,14.0,139.0,-21.0,-21.0,-36.0,-3.552201561199494,-2.9363340348264644,-0.9579516729842734,-3.9233305025827776,0.040571283350914554
120.0,129.0,8.8092,10.0,1.0,97.0,101.0,4.0,4.000000000000051,23.0,-1.2040752593946922,-3.759678384957862,-0.5207695661094683,-6.038447377386107,0.046462116412403026
9.0,13.0,7.8845,11.0,1.0,69.0,65.0,-4.0,-3.9951339361600473,-60.0,-3.425653196625627,-3.1544870951551696,-0.9359366602203106,-1.4319825309853558,0.052653202356578194
14.0,139.0,12.9241,12.0,1.0,93.0,92.0,-1.0,-1.0,67.0,0.5453092729515497,-3.1544870951551696,-0.9252841856600348,-6.672645922984663,0.05918392286260036
69.0,65.0,6.9198,14.0,1.0,31.0,45.0,14.0,14.009562989713958,38.0,1.4896304842261803,-3.5214304983305666,-0.7510741402180671,-4.537635784187091,0.0660954629503637
93.0,92.0,11.485,15.0,1.0,45.0,51.0,6.0,5.999999999999981,48.0,0.39681760422687246,-2.446421523121441,-0.73660672486318,-5.565174045588028,0.07343093106849811
32.0,39.0,2.8021,16.0,1.0,56.0,59.0,3.0,3.0000000000000635,-24.0,-3.398298765451804,-2.446421523121441,-0.9165329675054058,1.7967232277622402,0.08123545428382058
31.0,45.0,3.8325,17.0,1.0,13.0,118.0,-41.0,-41.0,18.0,2.9496817006661376,-2.446421523121441,0.028393551099042475,-4.720906218148393,0.08955624274791743
45.0,51.0,12.4471,18.0,1.0,97.0,111.0,14.0,14.000000000000052,-52.0,1.2381506988255047,-3.7996718065441955,-0.12256051954394975,-7.909782771917515,0.09844261667550072
56.0,59.0,5.0577,19.0,1.0,140.0,120.0,-20.0,-19.99328642607904,62.0,-2.2671844607704896,-5.177753589096723,-1.034092700386996,-3.581703933504077,0.10794598806741897
13.0,118.0,6.2063,20.0,1.0,68.0,40.0,-28.0,-13.494468131404679,-55.0,0.14910229798361907,-5.237710429817193,-0.4771483517350737,1.8672926756650454,0.11811978836638895
97.0,111.0,1.5305,21.0,1.0,90.0,108.0,18.0,9.747988603417264,7.0,1.3567785304253337,-6.0032209878380565,-1.2237259561711307,-6.563392243843252,0.12901933217027317
140.0,120.0,1.653,22.0,1.0,116.0,109.0,-7.0,-7.0,24.0,0.5675732880264337,-5.836232494559426,-0.35555171113742223,-7.268614633003163,0.14070160607868834
68.0,40.0,6.6428,23.0,1.0,23.0,122.0,-47.0,-20.746816432322994,45.0,-1.2981134170824322,-5.784001759158632,-0.7051013127501056,-2.9651630569925627,0.15322497075595734
90.0,108.0,5.1959,24.0,1.0,60.0,64.0,4.0,4.0,30.0,-2.425959789191289,-6.353349927240152,-0.6995723551179132,-2.820060394000674,0.16664876340930812
116.0,109.0,11.6187,25.0,1.0,140.0,131.0,-9.0,-8.99328642607904,-24.0,-2.0289722880266594,-7.706482867950807,-0.48689657665987657,0.01715734703326663,0.18103278716968277
23.0,122.0,7.1584,26.0,1.0,90.0,109.0,19.0,10.747988603417264,-67.0,1.1600213547283804,-7.423932362700934,-0.5522998556237532,-1.0083601433588172,0.19643667339932702
60.0,64.0,8.9752,27.0,1.0,38.0,76.0,38.0,38.0,22.0,-1.5250679953273265,-7.8589068067804835,-0.9484123717504808,-2.401845793279553,0.21291910282353516
140.0,131.0,3.7214,28.0,1.0,144.0,133.0,-11.0,-9.247567994552774,-4.0,-1.7526628036595624,-8.643652428282328,-0.9428950839177415,-6.530078954483947,0.23053687169309736
90.0,109.0,3.4475,29.0,1.0,141.0,129.0,-12.0,2.011400436654805,-51.0,0.21631694909602725,-9.558654504839245,-0.7428230701578143,-5.2110093240511715,0.24934379003915824
38.0,76.0,7.245,30.0,1.0,90.0,88.0,-2.0,-10.252011396582736,-52.0,1.1598984673205128,-9.386629806543418,-0.4535013348583509,0.2961141000846089,0.2693894006011881
144.0,133.0,6.6091,31.0,1.0,68.0,67.0,-1.0,13.505531868595321,-70.0,-5.480525150164651,-9.490312419435405,-1.241710639105947,-2.3763892317796484,0.29071750931391965
141.0,129.0,9.8765,32.0,1.0,47.0,56.0,9.0,7.50000000000005,-52.0,1.83067708715234,-9.490646357129988,-0.2815789771353422,-6.197755504056825,0.31336452145192933
90.0,88.0,2.3171,33.0,1.0,53.0,55.0,2.0,2.001677312195679,37.0,-1.8549513692307422,-9.490646357129988,-0.9251775923723452,1.621748591723444,0.3373575817654263
68.0,67.0,1.249,34.0,1.0,116.0,111.0,-5.0,-5.0,-48.0,3.6868740989869297,-9.669816432281666,-0.48579804667842236,-2.99854660547897,0.3627125222965178
47.0,56.0,0.7716,35.0,1.0,31.0,117.0,-60.0,-59.990437010286044,16.0,-2.472203070086706,-9.953671452507512,-0.6211832602968003,-3.3765854234555914,0.38943162811525817
53.0,55.0,6.2742,36.0,1.0,137.0,122.0,-15.0,-3.3308741483923097,62.0,5.3746383233409505,-9.851726437643542,0.03871146329066485,-1.1243190292974552,0.41750123899586955
116.0,111.0,7.8715,37.0,1.0,85.0,110.0,25.0,25.0,31.0,-2.1194419952195904,-9.93358134096475,-0.512032239720486,-2.202549298383522,0.4468892140531999
31.0,117.0,4.7009,38.0,1.0,70.0,63.0,-7.0,-6.994965417421092,-39.0,0.5276153304505349,-9.840950355962551,-0.5027562331857575,-3.8139407525335605,0.4775422965028339
137.0,122.0,18.3667,39.0,1.0,26.0,114.0,-58.0,-58.0,-35.0,1.6694817430176487,-11.121672960068432,-0.05181825910932999,-3.0129244040421805,0.5093834268447383
85.0,110.0,3.6471,40.0,1.0,118.0,81.0,-37.0,-36.999662061674314,-33.0,2.465979326640571,-10.887141539434271,0.05584030275689958,-3.3709657619494444,0.5423090646615231
70.0,63.0,5.4146,41.0,1.0,111.0,88.0,-23.0,-22.992448660673844,-41.0,-2.535610106594173,-11.13214224520118,-0.8606221288685223,-1.2545694718697307,0.5761865915319035
26.0,114.0,2.9535,42.0,1.0,76.0,101.0,25.0,24.999999999999915,-50.0,2.4469252946963973,-10.028462174039863,-0.9310393131554325,-9.085881606354022,0.6108518798466506
118.0,81.0,3.2123,43.0,1.0,51.0,55.0,4.0,0.00570421317082026,67.0,-3.338784560130013,-9.682308327886018,-1.0157276347692545,-4.927466158135555,0.646107124030578
111.0,88.0,3.5458,44.0,1.0,80.0,78.0,-2.0,-2.0,31.0,-0.5990224891156678,-9.44301949151081,-0.27387890482834343,5.807746431199795,0.6817190411703621
76.0,101.0,9.6622,45.0,1.0,21.0,119.0,-48.0,-48.00871980683022,55.0,-3.28317284660988,-8.914809417243639,-1.1966933697789757,-4.31431498684428,0.7174175565851382
51.0,55.0,1.2584,46.0,1.0,45.0,32.0,-13.0,-13.00000000000002,6.0,-1.5429041361978844,-8.87713053353253,-0.9366530828760558,1.9803556047201638,0.7528950956477254
80.0,78.0,5.3232,47.0,1.0,125.0,123.0,-2.0,-2.0,-45.0,-0.6598241075916872,-8.87713053353253,-0.6012340280125634,-2.407317759271231,0.7878066053250815
21.0,119.0,5.7286,48.0,1.0,133.0,121.0,-12.0,-12.0,34.0,-0.9089321575432483,-7.786813301430074,-0.46223127436778716,1.7718713436801616,0.8217704266178619
45.0,32.0,1.4298,49.0,1.0,14.0,145.0,-15.0,-15.0,31.0,0.5835941491449004,-7.310067006946826,-0.6503268276006443,4.922931545317549,0.8543701315568738
125.0,123.0,4.6356,50.0,1.0,47.0,40.0,-7.0,-8.49999999999995,-68.0,0.3361870403560458,-5.663566612400886,-0.426695193291097,-5.159266555328639,0.8851574249893336
133.0,121.0,4.6514,51.0,1.0,105.0,109.0,4.0,4.000000000000089,28.0,0.6432702209612902,-5.583702353918109,-0.8559576129673914,0.2517013369150809,0.9136561915695255
14.0,145.0,5.9714,52.0,1.0,18.0,132.0,-32.0,-32.0,-4.0,0.5155798766944718,-5.882338030263201,-0.6263460355607926,0.756601047697826,0.9393677419115796
47.0,40.0,2.928,53.0,1.0,132.0,121.0,-11.0,-11.0,61.0,-2.7866050700147738,-5.855148137349351,-0.9797085571521617,-1.5262776579093837,0.9617772788307325
105.0,109.0,2.6191,54.0,1.0,1.0,137.0,-10.0,2.5579538487363607e-13,-42.0,-3.0619221308783766,-5.855148137349351,-1.2929093381114904,1.1849575464958517,0.9803615654231409
18.0,132.0,5.6994,55.0,1.0,52.0,30.0,-22.0,-22.001339936961205,-34.0,-3.0497632333064746,-5.527586590735387,-1.377046480803534,-1.8774849698811438,0.9945977322500209
132.0,121.0,4.604,56.0,1.0,62.0,51.0,-11.0,-11.0,70.0,-2.8590127517133936,-5.130665805886063,-0.7593528867083641,-3.9570828394352997,1.0039731123663977
1.0,137.0,6.7946,57.0,1.0,138.0,124.0,-14.0,-5.666669403721929,9.0,-1.6722425992483338,-3.8006030888919913,-0.45577826466881627,-7.882477613198276,1.0079959420614264
52.0,30.0,3.0115,58.0,1.0,86.0,86.0,0.0,-5.0701950882966915e-14,-34.0,-6.708485490051344,-3.3112485769414746,-1.2985869327809696,-7.054907332965502,1.006206714043038
62.0,51.0,3.4783,59.0,1.0,144.0,6.0,8.0,9.752432005447226,64.0,-4.239444722373124,-2.8139707584236864,-1.0465301147153774,2.6721211257077395,0.9981899208191106
138.0,124.0,10.4751,60.0,1.0,113.0,91.0,-22.0,-22.0,25.0,-3.154188055817307,-2.9640248029891803,-1.1389408963658532,-5.2550230273789635,0.9835858818432788
86.0,86.0,4.7666,61.0,1.0,15.0,127.0,-34.0,-34.0,71.0,0.45973183430749914,-2.7418820502948758,-0.17505521460826057,-2.9943635510995117,0.9621023113464329
144.0,6.0,5.8428,62.0,1.0,109.0,112.0,3.0,3.007551339326246,35.0,-1.1729500758619118,-2.5952756475597134,-0.6018873668762891,2.504549707178091,0.9335252573465229
113.0,91.0,5.4573,63.0,1.0,131.0,134.0,3.0,3.0,-18.0,0.24864806640924844,-2.281455052576563,-0.5136843445052816,-2.0960657537772494,0.8977290285674995
15.0,127.0,7.2807,64.0,1.0,87.0,90.0,3.0,2.9986569498308397,-72.0,-2.3337055106167046,-2.7835646827416176,-0.3939683814768618,-4.145134368732061,0.8546847269361023
109.0,112.0,3.9189999999999996,65.0,1.0,112.0,111.0,-1.0,-0.9999999999997149,-3.0,-3.194846306994289,-2.6605101150237105,-1.3265551592642832,0.25381566812745654,0.8044670204053628
131.0,134.0,5.5207,66.0,1.0,26.0,127.0,-45.0,-45.0,-41.0,-3.0958474461284435,-2.1966519104703695,-0.980758376179594,-3.344046885788789,0.7472588247734069
87.0,90.0,1.7171,67.0,1.0,52.0,61.0,9.0,8.998660063038793,35.0,-4.8869589499131285,-1.8068122288684798,-1.1138646944885542,-2.3797342771650665,0.6833536137576145
26.0,127.0,8.0992,69.0,1.0,125.0,118.0,-7.0,-7.0,47.0,-3.535048930292834,-2.027798942533651,-1.0098346929158626,-5.904900596594286,0.6131551427424281
52.0,61.0,6.0743,70.0,1.0,66.0,66.0,0.0,-0.0030191633111767906,-14.0,-1.3860901403909638,-1.9481969775512407,-0.8607189307527867,2.3416493885561263,0.5371744512886961
132.0,56.0,6.8665,71.0,1.0,72.0,67.0,-5.0,-4.99496541742136,60.0,0.5173704637980834,-1.889534920636043,-0.4819352491225883,-7.295441278642041,0.4560240997190959
125.0,118.0,6.4501,72.0,1.0,41.0,58.0,17.0,5.486583438380434,-62.0,-3.014179642106579,-1.3057180832557287,-0.642246470910188,-1.9499539745641632,0.3704096921431765
66.0,66.0,2.8288,73.0,1.0,147.0,138.0,-9.0,-9.0,65.0,3.615590409952212,-1.4281738722759345,-0.16912973679281687,-6.258473728923568,0.2811188378227637
72.0,67.0,6.1199,74.0,1.0,106.0,111.0,5.0,5.002348050748614,-34.0,4.055767556272874,-1.6591486996401112,-0.1533841123624864,-2.8959023229639436,0.18900780010477683
41.0,58.0,3.2401,75.0,1.0,122.0,86.0,-36.0,-36.0,65.0,-1.3651739452713234,-2.895672600388989,-0.7662713622268323,-3.7755372367091278,0.09498617247275258
147.0,138.0,4.183,76.0,1.0,22.0,28.0,6.0,-19.98456792988297,-21.0,-3.5498994710278873,-3.652903771809622,-1.2505273313793392,-0.18745555594492147,-0.0
106.0,111.0,0.8370000000000001,77.0,1.0,53.0,51.0,-2.0,-1.998322687804321,53.0,-2.2917330770344715,-5.040463710795051,-0.5909377844726889,-7.4265076823903895,-0.09498617247275258
122.0,86.0,5.2264,78.0,1.0,38.0,50.0,12.0,12.0,-62.0,-2.8277186110863792,-4.142521734420861,-0.846842863373905,-8.011647173208479,-0.18900780010477683
22.0,28.0,1.1912,79.0,1.0,86.0,71.0,-15.0,-15.000000000000052,-64.0,3.414698905868406,-5.078109117384749,-0.5252329113352738,-3.081402064410211,-0.2811188378227637
38.0,50.0,1.3921,81.0,1.0,31.0,33.0,2.0,2.0095629897139577,7.0,3.4977721827866977,-5.279371230654089,-0.01642789285679624,-3.5599460513289594,-0.3704096921431765
86.0,71.0,2.3871,82.0,1.0,61.0,44.0,-17.0,-17.0,25.0,2.472615620025345,-5.087259914065162,-0.3673171861869122,-5.197199507400416,-0.4560240997190959
,,,,,,,,,,0.6814525260910607,-5.832272347382507,-0.46924654963481416,-5.276457269164351,-0.5371744512886961
,,,,,,,,,,3.783617941528619,-5.165622435941947,-0.029228090352494306,-1.3961908422514937,-0.6131551427424281
125.0,119.0,0.7122,1.0,2.0,72.0,77.0,5.0,5.00503458257864,53.0,-0.9471307676799141,-5.001950606728697,-0.6996885506356838,2.2422322390581484,-0.6833536137576145
13.0,124.0,8.5235,3.0,2.0,89.0,93.0,4.0,3.9958887084022607,70.0,1.821267522496208,-5.247453412235948,-0.5390521471284866,-4.05389980511553,-0.7472588247734069
72.0,77.0,5.861000000000001,4.0,2.0,100.0,83.0,-17.0,-16.998657474378064,-28.0,-2.6767738789991946,-5.751631343208901,-0.935326485457545,-3.289017824163289,-0.8044670204053628
