stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,DoVM_values,bootstrap_values,Running_Mean,slopes,intercepts
58.0,70.0,0.0,2.0,1.0,0.0,67.0,199.0,72.0,5.0,3.71455634662936,-9.0,161.0,-0.3026474223272928,0.4012862912214334,-0.2204890386629052,0.027109074288524677,-1.0868471040399623
57.0,76.0,0.0,3.0,1.0,331.0,58.0,0.0,70.0,12.0,12.741119502763178,-1.0,-29.0,-0.045432928718094095,0.31109560149228965,-0.4220209888378222,-0.0026834553388412293,-0.48086875035446797
133.0,78.0,6.474011898,4.0,1.0,235.0,57.0,331.0,76.0,19.0,19.76036067482523,-72.0,-96.0,-4.724343748967769e-05,-0.18151044441160993,-0.08430831767214998,-0.0006766634118178531,-0.20714986209757225
127.0,144.0,2.149815083,6.0,1.0,29.0,135.0,277.0,143.0,8.0,4.407045278957108,-8.0,112.0,-0.2866319655758177,0.31666029227222453,-0.10680115293986299,-0.030503680534999744,0.40193799282120907
25.0,26.0,4.49972105,7.0,1.0,171.0,127.0,29.0,144.0,17.0,20.798014460230952,46.0,142.0,0.004635468254218808,-0.6438677970428696,0.04470472931555579,-0.07740276478996001,-0.4277896459214716
101.0,104.0,4.3158438210000005,8.0,1.0,160.0,25.0,171.0,26.0,1.0,3.465144995023424,-72.0,-11.0,-4.724343748967769e-05,0.40621384156589263,0.24496461698454,0.016205751919662295,0.37506976057207125
131.0,140.0,3.1833908560000004,9.0,1.0,301.0,101.0,160.0,104.0,3.0,-0.30316966971593295,30.0,141.0,0.06527980275414126,0.13159267548512615,0.21484846739075764,-0.038439308124304204,-0.5679420042000523
5.0,5.0,1.09988308,10.0,1.0,67.0,131.0,301.0,140.0,9.0,8.720557862255854,22.0,126.0,0.17834187824345804,-0.4835225328485417,0.11244875937684672,-0.020918779386001476,-1.0609831166921961
122.0,12.0,4.300511122,11.0,1.0,82.0,5.0,67.0,5.0,0.0,4.507825223682939,-31.0,15.0,-0.056313974285003655,-0.3251884206854596,0.1890229270862747,-0.026608005610563663,-0.8069272382906554
108.0,112.0,11.38290095,12.0,1.0,89.0,122.0,82.0,12.0,38.0,45.74803542748945,-14.0,7.0,-0.3088303144639366,1.0819640970369244,0.21940748769233154,0.08148213214771943,0.06841744273870141
126.0,111.0,3.53169179,13.0,1.0,350.0,108.0,89.0,112.0,4.0,7.632940303577081,18.0,-99.0,0.25206152197663256,-0.44519793683596076,0.14405659845283786,-0.013038074088888569,-1.2013418135709635
30.0,32.0,3.316788912,14.0,1.0,187.0,126.0,350.0,111.0,-15.0,-10.247321598368265,52.0,-163.0,0.0016701138297380473,0.15229608627830252,0.09548060575709388,-0.008170542703322264,0.42101154598740903
