stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,DoVM_values,bootstrap_values,Running_Mean,slopes,intercepts
113.0,108.0,0.0,2.0,1.0,46.0,81.0,177.0,86.0,5.0,-1.8580766784662455,32.0,-131.0,-0.10328299512681066,-1.0504264896746331,-0.49233668314419726,-0.036065629976473404,-1.0154699622733399
36.0,32.0,0.0,3.0,1.0,46.0,113.0,46.0,108.0,-5.0,-0.20045215310788755,71.0,0.0,-0.00013747879399004354,-0.26297593200066677,-0.4146212415140614,0.01657741198748967,-0.3494915853788175
59.0,62.0,3.417241812,4.0,1.0,79.0,36.0,46.0,32.0,-4.0,-4.5224592875685925,23.0,33.0,-0.3426294296051071,0.1948598461965348,-0.25470091169243464,-0.005604179287889097,-0.027500800991112538
13.0,23.0,2.699919939,5.0,1.0,4.0,59.0,79.0,62.0,3.0,5.041885019903718,-46.0,-75.0,0.009892594190274873,-0.9565753385500032,-0.2215500343004834,-0.10967568256705149,-0.30194507805234255
126.0,103.0,3.299952984,6.0,1.0,79.0,13.0,4.0,23.0,10.0,12.494300523023577,-35.0,75.0,0.0642940033549709,-1.8625646293093203,-0.21216264561492365,-0.18363310632977897,0.5365283322161929
16.0,18.0,3.3998000619999997,7.0,1.0,305.0,126.0,79.0,103.0,-23.0,-18.989249251407372,38.0,-134.0,-0.03912871761390332,-0.8468730007193788,-0.5956444788486271,-0.055664524848457075,-0.5742784963712437
133.0,111.0,6.633285046,8.0,1.0,89.0,16.0,305.0,18.0,2.0,5.391830649934493,-31.0,144.0,0.12018015211289734,-1.5558479828170735,-0.3741312184036342,-0.11319343878835773,-0.08228977916775457
130.0,113.0,2.332854986,9.0,1.0,42.0,133.0,89.0,111.0,-22.0,-21.661144241013446,-3.0,-47.0,0.28217437309680266,0.2876211705312119,-0.5095159703434894,-0.04060431747972028,-1.2645744324551822
99.0,100.0,2.5334191319999997,10.0,1.0,313.0,130.0,42.0,113.0,-17.0,-15.320022934102765,-31.0,-89.0,0.12018015211289734,-1.099196662352181,-0.41577827142954826,-0.10926346077258964,-0.7851004359701901
100.0,95.0,4.4004309180000005,11.0,1.0,356.0,99.0,313.0,100.0,1.0,-5.503971032459203,1.0,43.0,-0.09695881316285429,-1.1841564066361796,-0.24990544352046554,-0.09476058229018813,-0.44907406392396404
6.0,18.0,3.149770975,12.0,1.0,277.0,100.0,356.0,95.0,-5.0,-10.771634687474132,54.0,-79.0,-0.0025611370347896774,0.24307332111674237,-0.37088348418328976,-0.016579262166223848,-0.3933641704380164
124.0,108.0,3.083413124,13.0,1.0,292.0,6.0,277.0,18.0,12.0,13.898937626514247,-30.0,15.0,0.13931420594697438,-0.7249597243857385,-0.5721317789256967,-0.06404107394433912,-0.11548234071642699
88.0,97.0,2.116642952,14.0,1.0,340.0,124.0,292.0,108.0,-16.0,-10.93506961103695,-36.0,48.0,0.05459992650974748,-0.9337699310944018,-0.4882755750108984,-0.09539132737209748,-0.019251592386938545
56.0,53.0,3.3500218389999996,15.0,1.0,1.0,88.0,340.0,97.0,9.0,-0.6154175784625817,-32.0,21.0,0.10328299512681066,-1.029113450717947,-0.42765259660190497,-0.06394059118936608,-0.5925800335397835
55.0,42.0,4.899451256,16.0,1.0,214.0,56.0,1.0,53.0,-3.0,-1.3439660125864474,-1.0,-147.0,0.09695881316285429,-0.4132161319049479,-0.1816064407481172,-0.04178039147976937,-0.3880943744836926
116.0,102.0,2.5999569890000003,17.0,1.0,105.0,55.0,214.0,42.0,-13.0,-11.53907995068023,61.0,-109.0,-0.0008415341141654373,-0.6990179418130856,-0.02755857497669593,-0.04507164282283861,-0.21630772327139416
138.0,147.0,2.817516088,18.0,1.0,291.0,116.0,105.0,102.0,-14.0,-7.936513034177819,22.0,-174.0,-0.38060097897780387,-0.9536061977838678,0.16598143548757274,-0.07805738369866519,-0.4992778463522084
53.0,50.0,3.9168748860000004,19.0,1.0,81.0,138.0,291.0,147.0,9.0,9.087290399596116,63.0,150.0,-0.0006158798736997835,-0.3057977947676991,0.28373140496454147,-0.04579350805819977,0.5293967968988749
34.0,34.0,3.101749897,20.0,1.0,275.0,53.0,81.0,50.0,-3.0,-1.996540524661766,-19.0,-166.0,0.4993406332375919,0.6262104579328553,0.38102581965444693,-0.06487782897772391,-0.5587744115448916
92.0,126.0,4.950222015,21.0,1.0,177.0,34.0,275.0,34.0,0.0,0.008674579677562022,58.0,-98.0,-0.001346261169235537,-1.1031246003990878,0.5447389093775035,-0.14153928199618737,0.4198676198761643
127.0,124.0,2.249860048,22.0,1.0,358.0,92.0,177.0,126.0,34.0,24.362140197956435,35.0,-179.0,-0.0642940033549709,-1.4362416104814093,0.3067244507015773,-0.12271698092923668,0.6108644961389905
46.0,47.0,2.650599003,23.0,1.0,335.0,127.0,358.0,124.0,-3.0,0.42851290299445743,67.0,-23.0,-0.0003202149798235884,-0.2360503251355428,0.4695061828733509,-0.028912201982021823,0.40006384266022277
48.0,43.0,3.1835298539999997,24.0,1.0,89.0,46.0,335.0,47.0,1.0,0.3366674834073695,2.0,114.0,-0.1917200095687307,-0.38668111486434764,0.42009111096775825,-0.0528695222381445,-0.26117489706283975
103.0,99.0,5.583166361,25.0,1.0,228.0,48.0,89.0,43.0,-5.0,-5.247984497850423,55.0,139.0,-0.0021759360783203383,-0.5233589319002903,0.45041323304686876,-0.031749013532383484,0.36984356661721096
82.0,111.0,4.217813015,26.0,1.0,51.0,103.0,228.0,99.0,-4.0,-7.295932286981083,-21.0,-177.0,0.4198271909641667,-0.5437399557121231,0.2570291661918361,-0.0648511968133458,0.20982626465418677
77.0,86.0,0.8670709129999999,27.0,1.0,47.0,82.0,51.0,111.0,29.0,21.591185617929128,-5.0,-4.0,0.4426565512094257,-1.5475867824820724,0.11846600042661906,-0.16880102747925196,-0.2589480511600872
45.0,46.0,2.266311169,28.0,1.0,99.0,77.0,47.0,86.0,9.0,4.600373690118788,-32.0,52.0,0.10328299512681066,-0.8577688658598445,0.2993040330854128,-0.09965705698944924,-1.3617407299326632
7.0,8.0,3.1832139489999998,29.0,1.0,81.0,45.0,99.0,46.0,1.0,0.16965935200626525,-38.0,-18.0,0.03912871761390332,0.8703041157857843,0.34054762199618693,0.05590787473332795,-0.14727699974955927
132.0,120.0,5.067196846,30.0,1.0,157.0,7.0,81.0,8.0,1.0,2.5282896021249748,-23.0,76.0,0.3426294296051071,0.11538914118180446,0.48626890019706115,0.01617008994285517,-0.8281624277983551
73.0,97.0,2.583435059,31.0,1.0,322.0,132.0,157.0,120.0,-12.0,-11.29081468731418,-59.0,165.0,0.0011501422534634074,-0.5428112498930849,0.495594938698186,-0.10593535641423328,-0.13341144080043887
44.0,43.0,6.600227117999999,32.0,1.0,147.0,73.0,322.0,97.0,24.0,22.097610674254454,-29.0,-175.0,0.16083238951665324,-0.2593481535786931,0.36309044296580717,0.014412125852583522,0.07513898591190746
84.0,112.0,3.583440065,33.0,1.0,314.0,44.0,147.0,43.0,-1.0,-1.9640115398870375,40.0,167.0,-0.027861301122838127,-1.1879969965917454,0.5196722240002423,-0.074206021912063,-0.058496279615045964
8.0,8.0,4.550527096000001,34.0,1.0,224.0,84.0,314.0,112.0,28.0,19.619681186382437,72.0,-90.0,-0.00010082264458893456,0.37398287942333325,0.5486410115524226,-0.01700094298220646,-0.3699911078088338
114.0,98.0,4.017492056,35.0,1.0,254.0,8.0,224.0,8.0,0.0,1.389897846156769,-42.0,30.0,0.019755835871625282,-1.1453615152735337,0.6402478066695617,-0.1659499597187875,0.8139130181861536
38.0,33.0,2.53334713,36.0,1.0,234.0,114.0,254.0,98.0,-16.0,-10.686010999804564,72.0,-20.0,-0.00010082264458893456,-0.967669169179154,0.7377938325511243,-0.08027124906427972,0.10710541699021964
50.0,53.0,2.2177667619999997,37.0,1.0,293.0,38.0,234.0,33.0,-5.0,-5.897903366850114,12.0,59.0,-0.6824914634865167,-0.807656460423799,0.5068065146843158,-0.08178690380896783,-0.5156770823770247
144.0,131.0,2.749582052,38.0,1.0,111.0,50.0,293.0,53.0,3.0,3.23997378100235,-54.0,178.0,0.0025611370347896774,-1.5523834374453795,0.4523955994248386,-0.12299369883064913,-0.8357443061213706
32.0,39.0,2.717126846,39.0,1.0,133.0,144.0,111.0,131.0,-13.0,-11.894073365641573,36.0,22.0,-0.05459992650974748,-1.6568397438137796,0.18730212985082587,-0.17469862752230125,-0.03827659459575748
23.0,19.0,3.1338398460000003,40.0,1.0,136.0,32.0,133.0,39.0,7.0,7.660396407450891,-9.0,3.0,0.6458825304018304,0.5443942591395218,0.42181626186451676,0.020472321370244757,-0.16223796083584077
