stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,-100,,,,,training,,,,,,,,,,,,,,,,,277.163518577996,None,277.163518577996,None,277.163518577996,None,space,67.86929086800228,277.163518577996,None,,,,,,,,,,,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
119,Stimuli/Morph119.JPG,Stimuli/Morph119.png,Stimuli/BlurLevel5/BlurEditedMorph119,Stimuli/BlurLevel5/BlurEditedMorph119.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph119.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph119.png,Stimuli/BlurMorphTrio/EditedMorph119.png,None,None,,,,,0,0,0,0,0,0,0,118,,,,,,,,,,,,,,,,,,,,,,,39,1,1,129,-1.5733009776245932,1.9428649036424277,119,Experiment,,,,,,,,,31,127,-8,-8,,,,,,,,,,,,,,,346.4292183610014,347.1267760330011,346.4292183610014,347.1267760330011,89.1156462585034,1583872069.350137,1583872072.20166,2.851522922515869,1583872066.517173,1583872069.3226051,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
90,Stimuli/Morph90.JPG,Stimuli/Morph90.png,Stimuli/BlurLevel5/BlurEditedMorph90,Stimuli/BlurLevel5/BlurEditedMorph90.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph90.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph90.png,Stimuli/BlurMorphTrio/EditedMorph90.png,020275right.gif,Stimuli/normal_thumbnails/90right.gif,,,,,0,0,0,0,0,1,1,89,,,,,,,,,,,,,,,,,,,,,,,44,2,1,332,2.2073689821473175,-1.173678906964727,90,Experiment,,,,,,,,,92,92,-2,-2,,,,,,,,,,,,,,,352.68614973100193,353.40662857700227,352.68614973100193,353.40662857700227,97.27891156462584,1583872075.633076,1583872077.735658,2.1025819778442383,1583872072.71837,1583872075.617602,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
31,Stimuli/Morph31.JPG,Stimuli/Morph31.png,Stimuli/BlurLevel5/BlurEditedMorph31,Stimuli/BlurLevel5/BlurEditedMorph31.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph31.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph31.png,Stimuli/BlurMorphTrio/EditedMorph31.png,010079right.gif,Stimuli/normal_thumbnails/31right.gif,,,,,0,0,0,0,0,2,2,30,,,,,,,,,,,,,,,,,,,,,,,84,3,1,120,-1.2499999999999996,2.1650635094610973,31,Experiment,,,,,,,,,106,53,-22,-22,,,,,,,,,,,,,,,358.36715384299896,359.08264747599605,358.36715384299896,359.08264747599605,70.06802721088435,1583872081.3204522,1583872084.419699,3.0992467403411865,1583872078.250805,1583872081.304949,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
143,Stimuli/Morph143.JPG,Stimuli/Morph143.png,Stimuli/BlurLevel5/BlurEditedMorph143,Stimuli/BlurLevel5/BlurEditedMorph143.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph143.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph143.png,Stimuli/BlurMorphTrio/EditedMorph143.png,None,None,,,,,0,0,0,0,0,3,3,142,,,,,,,,,,,,,,,,,,,,,,,27,4,1,316,1.7983495008466273,-1.736645926147494,143,Experiment,,,,,,,,,33,147,-4,-4,,,,,,,,,,,,,,,365.1963046769961,365.93147207499715,365.1963046769961,365.93147207499715,94.5578231292517,1583872088.212677,1583872093.686059,5.473381996154785,1583872084.9343948,1583872088.150374,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
48,Stimuli/Morph48.JPG,Stimuli/Morph48.png,Stimuli/BlurLevel5/BlurEditedMorph48,Stimuli/BlurLevel5/BlurEditedMorph48.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph48.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph48.png,Stimuli/BlurMorphTrio/EditedMorph48.png,010131right.gif,Stimuli/normal_thumbnails/48right.gif,,,,,0,0,0,0,0,4,4,47,,,,,,,,,,,,,,,,,,,,,,,4,5,1,169,-2.45406795861916,0.4770224884413624,48,Experiment,,,,,,,,,78,52,-4,-4,,,,,,,,,,,,,,,374.6979358309982,375.40214597999875,374.6979358309982,375.40214597999875,94.5578231292517,1583872097.711179,1583872101.5534139,3.8422348499298096,1583872094.2015328,1583872097.6433458,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
4,Stimuli/Morph4.JPG,Stimuli/Morph4.png,Stimuli/BlurLevel5/BlurEditedMorph4,Stimuli/BlurLevel5/BlurEditedMorph4.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph4.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph4.png,Stimuli/BlurMorphTrio/EditedMorph4.png,010010right.gif,Stimuli/normal_thumbnails/4right.gif,,,,,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,85,6,1,318,1.8578620636934855,-1.6728265158971454,4,Experiment,,,,,,,,,49,38,-34,-34,,,,,,,,,,,,,,,382.10227406200283,382.797606113003,382.10227406200283,382.797606113003,53.74149659863945,1583872105.033665,1583872109.386684,4.3530189990997314,1583872102.0674381,1583872105.009148,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
118,Stimuli/Morph118.JPG,Stimuli/Morph118.png,Stimuli/BlurLevel5/BlurEditedMorph118,Stimuli/BlurLevel5/BlurEditedMorph118.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph118.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph118.png,Stimuli/BlurMorphTrio/EditedMorph118.png,None,None,,,,,0,0,0,0,0,6,6,117,,,,,,,,,,,,,,,,,,,,,,,82,7,1,133,-1.7049959001562458,1.8283842540479267,118,Experiment,,,,,,,,,124,94,24,24,,,,,,,,,,,,,,,390.2549163969961,390.94760952700017,390.2549163969961,390.94760952700017,67.34693877551021,1583872113.169985,1583872117.769374,4.599388837814331,1583872109.899646,1583872113.1552489,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
94,Stimuli/Morph94.JPG,Stimuli/Morph94.png,Stimuli/BlurLevel5/BlurEditedMorph94,Stimuli/BlurLevel5/BlurEditedMorph94.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph94.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph94.png,Stimuli/BlurMorphTrio/EditedMorph94.png,020286right.gif,Stimuli/normal_thumbnails/94right.gif,,,,,0,0,0,0,0,7,7,93,,,,,,,,,,,,,,,,,,,,,,,51,8,1,44,1.798349500846628,1.7366459261474931,94,Experiment,,,,,,,,,114,103,-9,-9,,,,,,,,,,,,,,,398.6074477840011,399.3339948749999,398.6074477840011,399.3339948749999,87.75510204081633,1583872121.616459,1583872124.9193091,3.3028502464294434,1583872118.283187,1583872121.555063,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
145,Stimuli/Morph145.JPG,Stimuli/Morph145.png,Stimuli/BlurLevel5/BlurEditedMorph145,Stimuli/BlurLevel5/BlurEditedMorph145.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph145.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph145.png,Stimuli/BlurMorphTrio/EditedMorph145.png,None,None,,,,,0,0,0,0,0,8,8,144,,,,,,,,,,,,,,,,,,,,,,,12,9,1,130,-1.6069690242163481,1.9151111077974452,145,Experiment,,,,,,,,,117,113,32,32,,,,,,,,,,,,,,,405.86043564099964,406.6147233090014,405.86043564099964,406.6147233090014,56.4625850340136,1583872128.88247,1583872131.637723,2.7552530765533447,1583872125.433113,1583872128.86698,,,CAN,001,20,female,undergrad,2020_Mar_10_1323,AdjustEyeTrack,3.1.5,60.00911358501288,
